tipo_post;post_id;post_link;link;link_domain;UrlCompleta;titulo_facebook
photo;71339054219_10150413324184220;https://www.facebook.com/71339054219/posts/10150413324184220;http://ow.ly/7Qc0C;www.lanacion.com.ar;http://www.lanacion.com.ar/1430554-la-pirotecnia-vedada-en-florencio-varela?utm_source=FB&utm_medium=Cali&utm_campaign=1430554;
photo;71339054219_10150413443874220;https://www.facebook.com/71339054219/posts/10150413443874220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150413443824220/?type=3;;URL NULL;
status;71339054219_10150413630589220;https://www.facebook.com/71339054219/posts/10150413630589220;;;TIME OUT;
photo;71339054219_10150415091409220;https://www.facebook.com/71339054219/posts/10150415091409220;http://ow.ly/7RuuH;www.lanacion.com.ar;http://www.lanacion.com.ar/1430829-empresario-y-millonario-a-los-ocho-anos?utm_source=FB&utm_medium=Cali&utm_campaign=1430829;
link;71339054219_10150415540599220;https://www.facebook.com/71339054219/posts/10150415540599220;http://www.lanacion.com.ar/1430851-cambio-climatico?utm_source=FB&utm_medium=Cali&utm_campaign=1430851;;URL NULL;
photo;71339054219_10150417078469220;https://www.facebook.com/71339054219/posts/10150417078469220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150417078429220/?type=3;;URL NULL;
photo;71339054219_10150555725529220;https://www.facebook.com/71339054219/posts/10150555725529220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150555725464220/?type=3;;URL NULL;
status;71339054219_10150558348359220;https://www.facebook.com/71339054219/posts/10150558348359220;;;TIME OUT;
photo;71339054219_10150558612464220;https://www.facebook.com/71339054219/posts/10150558612464220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150558612394220/?type=3;;URL NULL;
status;71339054219_10150560439199220;https://www.facebook.com/71339054219/posts/10150560439199220;;facebook.com;TIME OUT;
photo;71339054219_10150570557404220;https://www.facebook.com/71339054219/posts/10150570557404220;http://ow.ly/7RuuH;www.lanacion.com.ar;http://www.lanacion.com.ar/1430829-empresario-y-millonario-a-los-ocho-anos?utm_source=FB&utm_medium=Cali&utm_campaign=1430829;
photo;71339054219_10151399265404220;https://www.facebook.com/71339054219/posts/10151399265404220;http://a.ln.com.ar/ZscfT2;;URL NULL;
photo;71339054219_10151399385214220;https://www.facebook.com/71339054219/posts/10151399385214220;http://a.ln.com.ar/14pSgfy;;URL NULL;
photo;71339054219_10151399770069220;https://www.facebook.com/71339054219/posts/10151399770069220;http://a.ln.com.ar/117LPWX;;URL NULL;
photo;71339054219_10151399924054220;https://www.facebook.com/71339054219/posts/10151399924054220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151399783879220/?type=3;;URL NULL;
photo;71339054219_10151400657079220;https://www.facebook.com/71339054219/posts/10151400657079220;http://a.ln.com.ar/ZXNCg8;;URL NULL;
photo;71339054219_10151400902334220;https://www.facebook.com/71339054219/posts/10151400902334220;http://a.ln.com.ar/XPs2QK;;URL NULL;
photo;71339054219_10151401071569220;https://www.facebook.com/71339054219/posts/10151401071569220;http://a.ln.com.ar/11nzVLr;;URL NULL;
photo;71339054219_10151401193179220;https://www.facebook.com/71339054219/posts/10151401193179220;http://a.ln.com.ar/ZYH80y;;URL NULL;
